final_category,total_offers,cities_count,remote_percentage,contract_info_percentage,salary_info_percentage,high_confidence_percentage
SPECIAL_AUTRES,680,18,1.2,9.7,7.1,0.0
DATA_IA,566,19,1.6,10.8,7.4,100.0
MANAGEMENT_DIRECTION,296,15,0.0,2.4,2.0,79.1
PRODUCTION_INDUSTRIE,241,15,0.0,10.8,7.9,100.0
COMMERCIAL_VENTE,236,16,0.4,11.9,8.1,100.0
IT_DEVELOPPEMENT,172,12,0.0,9.3,4.7,100.0
ADMINISTRATIF_SUPPORT,136,12,0.0,11.0,2.9,100.0
COMPTABILITE_FINANCE,131,12,0.0,13.7,5.3,100.0
LOGISTIQUE_TRANSPORT,78,12,0.0,10.3,7.7,100.0
MARKETING_COM,62,9,1.6,6.5,6.5,100.0
RESSOURCES_HUMAINES,61,12,0.0,6.6,0.0,100.0
INGENIERIE,49,9,0.0,6.1,6.1,0.0
ADMIN_SYSTEME_CLOUD,24,5,0.0,12.5,4.2,100.0
BATIMENT_CONSTRUCTION,20,7,0.0,5.0,0.0,100.0
TELECOM_RESEAUX,18,2,0.0,0.0,0.0,100.0
EDUCATION_FORMATION,11,4,0.0,0.0,0.0,100.0
SANTE_MEDICAL,11,5,0.0,18.2,0.0,100.0
JURIDIQUE_DROIT,9,4,0.0,11.1,0.0,100.0
ENERGIE_ENVIRONNEMENT,6,2,0.0,50.0,0.0,100.0
HOTELLERIE_RESTAURATION,6,4,0.0,16.7,0.0,100.0
