title_clean,company_clean,location_clean,final_category,confidence_level,activity_sector,is_remote,has_contract_info,has_experience_info,has_education_info,has_salary_info,source
responsable administratif et financier (raf),orh assessment,agadir,ADMINISTRATIF_SUPPORT,HIGH,FINANCE_BANQUE,0,0,1,1,0,Rekrute
management assistant,manpower agences,agadir,ADMINISTRATIF_SUPPORT,HIGH,TECHNOLOGIE,0,1,0,1,0,Rekrute
assistant manager restaurant,tectra,agadir,ADMINISTRATIF_SUPPORT,HIGH,TECHNOLOGIE,0,0,0,0,0,Emploi.ma
réceptionniste al hoceima / bac+2,akdital,autres_villes,ADMINISTRATIF_SUPPORT,HIGH,SANTE,0,0,1,1,0,MarocAnnonces
un agent administratif – coursier - temara,anonyme,autres_villes,ADMINISTRATIF_SUPPORT,HIGH,FINANCE_BANQUE,0,0,1,0,0,MarocAnnonces
hôtesses d''accueil - clinique al hoceima / bac+2,akdital,autres_villes,ADMINISTRATIF_SUPPORT,HIGH,TECHNOLOGIE,0,1,0,1,0,MarocAnnonces
receptionniste-benguerir-,hotel,autres_villes,ADMINISTRATIF_SUPPORT,HIGH,TOURISME,0,0,0,0,0,MarocAnnonces
assistant administratif h/f,tectra,autres_villes,ADMINISTRATIF_SUPPORT,HIGH,TECHNOLOGIE,0,0,0,0,0,Emploi.ma
réceptionniste,job connect,autres_villes,ADMINISTRATIF_SUPPORT,HIGH,AUTRE_SECTEUR,0,0,0,0,0,Emploi.ma
réceptionniste h/f,tectra casa tertiaire – recrutement,autres_villes,ADMINISTRATIF_SUPPORT,HIGH,TECHNOLOGIE,0,1,1,0,1,Emploi.ma
assistante de direction,tectra,autres_villes,ADMINISTRATIF_SUPPORT,HIGH,BATIMENT,0,0,0,0,0,Emploi.ma
assistante administrative,dekra services,autres_villes,ADMINISTRATIF_SUPPORT,HIGH,INDUSTRIE,0,1,0,0,0,Emploi.ma
responsable administratif et financier,atlas online,casablanca,ADMINISTRATIF_SUPPORT,HIGH,FINANCE_BANQUE,0,0,0,1,0,Rekrute
responsable administratif et financier h/f,atlas online,casablanca,ADMINISTRATIF_SUPPORT,HIGH,TECHNOLOGIE,0,0,1,1,0,Rekrute
assistante achat,non spécifié,casablanca,ADMINISTRATIF_SUPPORT,HIGH,BATIMENT,0,0,1,1,0,Rekrute
assistant(e) achats – poste en intérim,crit,casablanca,ADMINISTRATIF_SUPPORT,HIGH,SANTE,0,1,0,1,0,Rekrute
assistant(e) back office (h/f),maroc climate and security (mcs) - carrier,casablanca,ADMINISTRATIF_SUPPORT,HIGH,TECHNOLOGIE,0,0,0,1,0,Rekrute
standardiste expérimentée,non spécifié,casablanca,ADMINISTRATIF_SUPPORT,HIGH,SANTE,0,0,1,1,0,Rekrute
office manager expérimenté (e),non spécifié,casablanca,ADMINISTRATIF_SUPPORT,HIGH,TECHNOLOGIE,0,0,1,0,0,Rekrute
assistante dg,obk technologies auditec,casablanca,ADMINISTRATIF_SUPPORT,HIGH,SANTE,0,0,1,1,0,Rekrute
assistant de direction,manpower agences,casablanca,ADMINISTRATIF_SUPPORT,HIGH,TECHNOLOGIE,0,0,1,0,0,Rekrute
assistante administrative,non spécifié,casablanca,ADMINISTRATIF_SUPPORT,HIGH,TECHNOLOGIE,0,0,0,1,0,Rekrute
assistante sav,crit,casablanca,ADMINISTRATIF_SUPPORT,HIGH,TECHNOLOGIE,0,0,1,1,0,Rekrute
assistante back office,m-automotiv,casablanca,ADMINISTRATIF_SUPPORT,HIGH,TECHNOLOGIE,0,0,0,1,0,Rekrute
réceptionniste,manpower agences,casablanca,ADMINISTRATIF_SUPPORT,HIGH,TECHNOLOGIE,0,0,1,1,0,Rekrute
office manager expérimenté (e),non spécifié,casablanca,ADMINISTRATIF_SUPPORT,HIGH,TECHNOLOGIE,0,0,1,0,0,Rekrute
responsable administratif et financier,moore casablanca,casablanca,ADMINISTRATIF_SUPPORT,HIGH,TECHNOLOGIE,0,1,1,0,0,Rekrute
assistante administrative,non spécifié,casablanca,ADMINISTRATIF_SUPPORT,HIGH,TECHNOLOGIE,0,0,0,0,0,Rekrute
directeur administratif et financier (h/f),non spécifié,casablanca,ADMINISTRATIF_SUPPORT,HIGH,TECHNOLOGIE,0,0,0,1,0,Rekrute
chargée d''accueil,groupe label''vie - carrefour,casablanca,ADMINISTRATIF_SUPPORT,HIGH,TECHNOLOGIE,0,0,0,0,0,Rekrute
catalog data assistant,maroc climate and security (mcs) - carrier,casablanca,ADMINISTRATIF_SUPPORT,HIGH,TECHNOLOGIE,0,0,0,1,0,Rekrute
stage assistant (e) ingénieur travaux/chef de projet (rémunéré),cac (centrale automobile chérifienne),casablanca,ADMINISTRATIF_SUPPORT,HIGH,TECHNOLOGIE,0,1,0,1,0,Rekrute
directeur administratif et financier (h/f),non spécifié,casablanca,ADMINISTRATIF_SUPPORT,HIGH,FINANCE_BANQUE,0,0,0,1,0,Rekrute
assistante administrative,hp search,casablanca,ADMINISTRATIF_SUPPORT,HIGH,TECHNOLOGIE,0,0,0,1,0,Rekrute
assistante administrative – spécialisée appels d’offres,non spécifié,casablanca,ADMINISTRATIF_SUPPORT,HIGH,TECHNOLOGIE,0,0,0,1,0,Rekrute
assistante de direction générale,crit,casablanca,ADMINISTRATIF_SUPPORT,HIGH,TECHNOLOGIE,0,0,1,1,0,Rekrute
assistante sociale h/f,atlas multiservices,casablanca,ADMINISTRATIF_SUPPORT,HIGH,SANTE,0,0,0,1,0,Rekrute
assistante de direction,devink,casablanca,ADMINISTRATIF_SUPPORT,HIGH,TECHNOLOGIE,0,0,0,1,0,Rekrute
hôtesse d''accueil,domino hr morocco,casablanca,ADMINISTRATIF_SUPPORT,HIGH,TECHNOLOGIE,0,0,1,0,0,Rekrute
agents sav ( assistants techniques) h/f,manpower agences,casablanca,ADMINISTRATIF_SUPPORT,HIGH,AUTRE_SECTEUR,0,0,0,1,0,Rekrute
chargée d’accueil & bureau d’ordre.,non spécifié,casablanca,ADMINISTRATIF_SUPPORT,HIGH,TECHNOLOGIE,0,0,0,1,0,Rekrute
assistant(e) de direction expérimenté(e) f/h,deloitte extended services,casablanca,ADMINISTRATIF_SUPPORT,HIGH,TECHNOLOGIE,0,0,1,0,0,Rekrute
responsable administratif,non spécifié,casablanca,ADMINISTRATIF_SUPPORT,HIGH,INDUSTRIE,0,0,1,1,0,Rekrute
assistante junior (h/f),carl rogers consulting,casablanca,ADMINISTRATIF_SUPPORT,HIGH,TECHNOLOGIE,0,0,1,1,0,Rekrute
assistante de la direction technique,groupe addoha,casablanca,ADMINISTRATIF_SUPPORT,HIGH,BATIMENT,0,0,0,1,0,Rekrute
assistante de direction-,non spécifié,casablanca,ADMINISTRATIF_SUPPORT,HIGH,TECHNOLOGIE,0,1,1,0,0,Rekrute
responsable administratif et financier (raf),crit,casablanca,ADMINISTRATIF_SUPPORT,HIGH,FINANCE_BANQUE,0,0,1,0,0,Rekrute
