title_clean,company_clean,location_clean,desc_length,word_count,is_remote,has_contract_info,has_experience_info,has_education_info,has_salary_info,balanced_category
aftermarket buyer,capgemini engineering,casablanca,423,58,0,0,1,1,0,AUTRE
gérant de station-service,non spécifié,ben maachou (maroc),377,55,0,0,0,1,0,AUTRE
gérant de station-service,non spécifié,el menzeh - meknès (maroc),300,44,0,0,0,1,0,AUTRE
gérant de station-service,non spécifié,khouribga (maroc),312,41,0,0,0,1,0,AUTRE
comptable (h/f),non spécifié,casablanca,324,45,0,0,0,1,0,COMPTABILITE_FINANCE
responsable administratif et financier,atlas online,casablanca,367,48,0,0,0,1,0,ADMINISTRATIF
manager d'équipe en conduite d'activité ftth,non spécifié,casablanca,261,31,0,0,1,0,0,MANAGEMENT
data analyst,smollan morocco,casablanca,365,50,0,0,0,0,0,DATA_IA
chargé(e) d'accueil (f/h),sofrecom maroc,rabat,421,54,0,0,0,1,0,ADMINISTRATIF
responsable logistique de stock (h/f),manpower agences,agadir,270,38,0,0,0,1,0,LOGISTIQUE_TRANSPORT
pmo senior – transformation digitale & ia - industrie x.0,aba technology,casablanca,403,53,0,0,1,1,0,AUTRE
chargé(e) import & export,manpower agences,casablanca,380,50,0,0,1,1,0,AUTRE
technicien(ne) d'études barrage,novec,salé,373,49,0,0,0,0,0,PRODUCTION_INDUSTRIE
technicien(ne) structure,novec,salé,387,53,0,0,0,1,0,PRODUCTION_INDUSTRIE
technicien(ne) d'études expérimenté(e) en assainissement,novec,salé,366,47,0,0,1,1,0,PRODUCTION_INDUSTRIE
ingénieur d'études vrd,novec,salé,360,46,0,0,1,0,0,INGENIERIE
technicien(ne) d'études expérimenté(e) en assainissement,novec,salé,403,57,0,0,1,1,0,PRODUCTION_INDUSTRIE
ingénieur devops (h/f),sofrecom maroc,casablanca,308,40,0,0,0,0,0,IT_DEVELOPPEMENT
responsable qualité,groupe label'vie - carrefour,casablanca,442,67,0,0,1,1,0,MANAGEMENT
responsable d'affaires (h/f),vinci energies afrique de l'ouest,casablanca,506,66,0,0,1,0,0,MANAGEMENT
chargés de clientèle bilingue (francais/anglais),atlas online,casablanca,370,52,0,0,0,1,0,AUTRE
responsable administratif et financier h/f,atlas online,casablanca,404,53,0,0,1,1,0,ADMINISTRATIF
administration des ventes -adv- (h/f),non spécifié,casablanca,319,44,0,0,0,1,0,AUTRE
service client,ms smart electro,casablanca,349,51,0,0,0,0,0,AUTRE
magasinier (longometal armatures),sonasid,berrechid (maroc),345,52,0,0,0,1,0,AUTRE
chef d'équipe (longometal armatures),sonasid,berrechid (maroc),384,53,0,0,0,1,0,AUTRE
acheteur (longometal armatures),sonasid,berrechid (maroc),323,48,0,0,0,1,0,LOGISTIQUE_TRANSPORT
développeur fullstack php symfony - expert,btechnologie,rabat,355,48,0,0,0,1,0,IT_DEVELOPPEMENT
technicien méthodes,richbond,casablanca,355,50,0,0,0,1,0,PRODUCTION_INDUSTRIE
analyste risque compliance,sofrecom maroc,technopolis (maroc),351,47,0,0,0,1,0,AUTRE
agent de maintenance mécanicien,non spécifié,meknès (maroc),366,42,0,0,0,0,0,PRODUCTION_INDUSTRIE
comptable - marrakech,non spécifié,marrakech,332,45,0,0,0,1,0,COMPTABILITE_FINANCE
développeur dynatrace engineer,alten maroc,rabat,378,56,0,0,0,1,0,IT_DEVELOPPEMENT
infirmier(e) du travail,non spécifié,casablanca,443,58,0,0,0,1,0,AUTRE
chargé de recrutement sur el jadida - f/h,wow7h24,el jadida (maroc),346,52,0,0,0,1,0,AUTRE
responsable logistique de stock (h/f),manpower agences,agadir,331,45,0,0,1,1,0,LOGISTIQUE_TRANSPORT
stagiaire en recrutement,manpower agences,casablanca,305,45,0,1,0,1,1,AUTRE
chaudronnier,non spécifié,meknès (maroc),311,42,0,0,0,0,0,AUTRE
commerciale & réservations (femme),manpower agences,tanger,381,53,0,0,0,0,0,COMMERCIAL_VENTE
stage pfe – génie industriel laayoun,non spécifié,laâyoune (maroc),386,50,0,1,0,0,0,AUTRE
commercial(e) sédentaire,domino hr morocco,casablanca,407,55,0,0,0,0,0,COMMERCIAL_VENTE
auditeur qualité fournisseurs h/f,groupe azura,agadir,330,47,0,0,0,1,0,COMPTABILITE_FINANCE
conseiller d'entretien - casablanca,campus france,casablanca,507,64,0,0,0,0,0,AUTRE
approvisionneur h/f,locamed,rabat,360,50,0,0,0,1,0,AUTRE
responsable contrôle de gestion industriel (h/f),energy transfo,casablanca,416,54,0,0,0,1,0,MANAGEMENT
formateur franco-anglophone - secteur du travel,concentrix,marrakech,385,55,0,0,0,0,0,AUTRE
chargé(e) de supervision obc & sécurité transport,outsourcia,casablanca,428,62,0,0,0,0,0,LOGISTIQUE_TRANSPORT
conseiller d'entretien - marrakech,campus france,marrakech,488,63,0,0,0,0,0,AUTRE
comptable groupe (h/f),non spécifié,casablanca,379,48,0,0,1,1,0,COMPTABILITE_FINANCE
responsable achat import (h/f),non spécifié,casablanca,416,53,0,0,1,1,0,MANAGEMENT
comptable au sein d'une école (h/f),non spécifié,casablanca,372,46,0,0,0,1,0,COMPTABILITE_FINANCE
"commerciaux sédentaires en assurance : 5000dhs net, primes déplafonnées, transport assuré",eca assurances,casablanca,303,39,0,0,0,0,1,LOGISTIQUE_TRANSPORT
gestionnaire de facturation senior,non spécifié,casablanca,430,57,0,0,1,1,0,AUTRE
analyste sourcing,attijariwafa bank,casablanca,405,57,0,0,0,1,0,AUTRE
trésorier / salle des marchés,attijariwafa bank,casablanca,428,68,0,0,0,1,0,AUTRE
chargé d'affaires grandes entreprises,attijariwafa bank,casablanca,386,47,0,0,0,1,0,AUTRE
technicien(ne) dessinatrice dao – coordination de projets,non spécifié,casablanca,376,52,0,0,1,0,0,PRODUCTION_INDUSTRIE
comptable fournisseurs,non spécifié,casablanca,428,64,0,0,0,1,0,COMPTABILITE_FINANCE
assistante achat,non spécifié,casablanca,355,48,0,0,1,1,0,ADMINISTRATIF
finance business partner,groupe label'vie - carrefour,casablanca,383,49,0,0,0,1,0,AUTRE
analyste (mergers & acquisitions) junior,aba technology,casablanca,441,58,0,0,1,1,0,AUTRE
ingénieur devops sénior (h/f),non spécifié,casablanca,306,40,0,1,1,0,0,INGENIERIE
responsable maintenance,best biscuits maroc,had soualem (maroc),401,51,0,0,0,0,0,PRODUCTION_INDUSTRIE
consultant liferay,inetum,casablanca,421,59,0,0,1,0,0,IT_DEVELOPPEMENT
consultant devops aws (h/f),dxc - cdg,rabat,383,54,0,0,1,0,0,AUTRE
commercial (h/f),axa services maroc,rabat,362,50,0,0,0,1,0,COMMERCIAL_VENTE
commercial (h/f),axa services maroc,rabat,365,51,0,0,0,1,0,COMMERCIAL_VENTE
chargé d’assistance (h/f),axa services maroc,technopolis (maroc),342,49,0,0,0,1,0,AUTRE
responsable des achats,non spécifié,casablanca,301,40,0,0,0,0,0,MANAGEMENT
project management officer - pmo (h/f),bcp tech,casablanca,400,56,0,0,0,1,0,AUTRE
supply chain crisis management,capgemini engineering,casablanca,468,60,0,0,0,1,0,LOGISTIQUE_TRANSPORT
avis aux jeunes diplômés. intégrez unifitel et bénéficiez d'un tremplin vers les métiers financiers,unifitel,casablanca,343,49,0,0,0,1,0,AUTRE
chef de projet moa cash management – kyriba (h/f),tectra,casablanca,377,55,0,0,0,1,0,MANAGEMENT
ingénieur poste de travail middle senior,dxc - cdg,technopolis (maroc),451,69,0,0,1,1,0,INGENIERIE
cameraman / monteur video,um6p - université mohammed vi polytechnique,benguerir (maroc),348,55,0,0,0,1,0,AUTRE
capacity building manager,um6p - université mohammed vi polytechnique,laayoune (maroc),442,61,0,0,0,1,0,MANAGEMENT
spécialiste support en systèmes d'information - nador et région - ref. 006412,novancy,nador (maroc),439,55,0,0,0,1,0,AUTRE
directeur des systèmes d’information h/f ref. 006406,novancy,casablanca,383,51,0,0,0,1,0,MANAGEMENT
security engineer,um6p - université mohammed vi polytechnique,benguerir (maroc),473,59,0,0,1,0,0,AUTRE
planificateur de production usine - nador et région - ref. 006414,novancy,nador (maroc),328,49,0,0,0,0,0,PRODUCTION_INDUSTRIE
ingénieure/ingénieur de développement java /angular (h/f),capgemini,casablanca,355,50,0,0,0,0,0,IT_DEVELOPPEMENT
collaboration solutions specialist (voip cisco),um6p - université mohammed vi polytechnique,benguerir (maroc),407,53,0,0,0,0,0,AUTRE
chief financial officer - nador et région - ref. 006415,novancy,nador (maroc),462,58,0,0,0,0,0,AUTRE
network engineer,um6p - université mohammed vi polytechnique,benguerir (maroc),468,63,0,0,0,0,0,AUTRE
contrôleur de gestion (h/f),crit,casablanca,411,64,0,0,0,1,0,COMPTABILITE_FINANCE
assistant(e) achats – poste en intérim,crit,casablanca,386,53,0,0,0,1,0,ADMINISTRATIF
consultant(e) junior finance,crit,casablanca,485,62,0,1,1,1,0,AUTRE
responsable commercial (h/f),eca assurances,casablanca,571,77,0,0,0,1,0,COMMERCIAL_VENTE
responsable systèmes d'information,structural aerospace morocco (aviagroup),nouaceur (maroc),358,46,0,0,0,0,0,MANAGEMENT
ingénieur suivi travaux,novec,dakhla (maroc),371,51,0,0,1,0,0,INGENIERIE
technicien (ville verte bouskoura),cac (centrale automobile chérifienne),casablanca,371,51,0,0,0,1,0,PRODUCTION_INDUSTRIE
technicien (bouskoura),cac (centrale automobile chérifienne),casablanca,312,42,0,0,0,1,0,PRODUCTION_INDUSTRIE
assistant gouvernante,um6p - université mohammed vi polytechnique,benguerir (maroc),382,52,0,0,0,0,0,ADMINISTRATIF
supply chain manager (import-export),nicomatic,casablanca,366,51,0,0,1,1,0,LOGISTIQUE_TRANSPORT
commerciaux fai - wk off,tersea,fès,369,49,0,0,0,1,0,AUTRE
chargé(e) de services clients,obk technologies auditec,el jadida (maroc),381,56,0,0,0,1,0,AUTRE
conseillers commerciaux en assurance – émission d’appels,eca assurances,casablanca,392,50,0,0,0,0,0,AUTRE
infirmière de travail - cdd,novec,salé,404,56,0,1,0,1,0,AUTRE
chef de projet eau potable et assainissement,novec,salé,360,53,0,0,0,1,0,MANAGEMENT
technicien(ne) sig,novec,salé,405,55,0,0,0,0,0,PRODUCTION_INDUSTRIE
technicien(ne) fluide,novec,salé,351,48,0,0,1,0,0,PRODUCTION_INDUSTRIE
chef de projet ouvrages d'art,novec,salé,405,57,0,0,0,0,0,MANAGEMENT
technicien(ne) sig / développement rural,novec,salé,389,56,0,0,0,0,0,PRODUCTION_INDUSTRIE
ingénieur d’études en assainissement et drainage d'ouvrage linéaire,novec,salé,386,50,0,0,1,1,0,INGENIERIE
hr generalist,cnexia,rabat,336,52,0,0,0,1,0,AUTRE
people operations,cnexia,fès,367,57,0,0,0,1,0,AUTRE
it talent acquisition sourcer,cnexia,rabat,462,63,0,0,0,0,0,RESSOURCES_HUMAINES
assistant(e) commercial(e) (h/f),maroc climate and security (mcs) - carrier,casablanca,463,60,0,0,0,1,0,COMMERCIAL_VENTE
leader développeur,centrale danone,tout le maroc (maroc),454,66,0,0,0,1,0,IT_DEVELOPPEMENT
assistant(e) back office (h/f),maroc climate and security (mcs) - carrier,casablanca,395,58,0,0,0,1,0,ADMINISTRATIF
téléconseiller btob – prise de rendez-vous professionnels,eca assurances,casablanca,375,45,0,0,0,0,0,AUTRE
concepteur développeur c++ sénior (h/f),sofrecom maroc,casablanca,393,59,0,1,1,0,0,IT_DEVELOPPEMENT
ingénieur génie civil,vinci energies afrique de l'ouest,sala al jadida (maroc),391,59,0,0,1,1,0,INGENIERIE
ingénieur cfo,vinci energies afrique de l'ouest,sala al jadida (maroc),352,49,0,0,0,1,0,INGENIERIE
