title_clean,company_clean,location_clean,desc_length,word_count,is_remote,has_contract_info,has_experience_info,has_education_info,has_salary_info,final_category
aftermarket buyer,capgemini engineering,casablanca,423,58,0,0,1,1,0,SPECIAL_AUTRES
gérant de station-service,non spécifié,maroc,377,55,0,0,0,1,0,MANAGEMENT_DIRECTION
gérant de station-service,non spécifié,meknes,300,44,0,0,0,1,0,MANAGEMENT_DIRECTION
gérant de station-service,non spécifié,khouribga,312,41,0,0,0,1,0,MANAGEMENT_DIRECTION
comptable (h/f),non spécifié,casablanca,324,45,0,0,0,1,0,COMPTABILITE_FINANCE
responsable administratif et financier,atlas online,casablanca,367,48,0,0,0,1,0,ADMINISTRATIF_SUPPORT
manager d''équipe en conduite d''activité ftth,non spécifié,casablanca,261,31,0,0,1,0,0,MANAGEMENT_DIRECTION
data analyst,smollan morocco,casablanca,365,50,0,0,0,0,0,IT_DEVELOPPEMENT
chargé(e) d''accueil (f/h),sofrecom maroc,rabat,421,54,0,0,1,1,0,ADMINISTRATIF_SUPPORT
responsable logistique de stock (h/f),manpower agences,agadir,270,38,0,0,0,1,0,LOGISTIQUE_TRANSPORT
pmo senior – transformation digitale & ia - industrie x.0,aba technology,casablanca,403,53,0,0,1,1,0,RESSOURCES_HUMAINES
chargé(e) import & export,manpower agences,casablanca,380,50,0,0,1,1,0,SPECIAL_AUTRES
technicien(ne) d''études barrage,novec,sale,373,49,0,0,0,0,0,PRODUCTION_INDUSTRIE
technicien(ne) structure,novec,sale,387,53,0,0,0,1,0,PRODUCTION_INDUSTRIE
technicien(ne) d''études expérimenté(e) en assainissement,novec,sale,366,47,0,0,1,1,0,DATA_IA
ingénieur d''études vrd,novec,sale,360,46,0,0,1,1,0,INGENIERIE
technicien(ne) d''études expérimenté(e) en assainissement,novec,sale,403,57,0,0,1,1,0,DATA_IA
ingénieur devops (h/f),sofrecom maroc,casablanca,308,40,0,0,0,1,0,IT_DEVELOPPEMENT
responsable qualité,groupe label''vie - carrefour,casablanca,442,67,0,0,1,1,0,PRODUCTION_INDUSTRIE
responsable d''affaires (h/f),vinci energies afrique de l''ouest,casablanca,506,66,0,0,1,0,0,DATA_IA
chargés de clientèle bilingue (francais/anglais),atlas online,casablanca,370,52,0,0,0,1,0,DATA_IA
responsable administratif et financier h/f,atlas online,casablanca,404,53,0,0,1,1,0,ADMINISTRATIF_SUPPORT
administration des ventes -adv- (h/f),non spécifié,casablanca,319,44,0,0,0,1,0,COMMERCIAL_VENTE
service client,ms smart electro,casablanca,349,51,0,0,0,0,0,SPECIAL_AUTRES
magasinier (longometal armatures),sonasid,maroc,345,52,0,0,0,1,0,SPECIAL_AUTRES
chef d''équipe (longometal armatures),sonasid,maroc,384,53,0,0,0,1,0,MANAGEMENT_DIRECTION
acheteur (longometal armatures),sonasid,maroc,323,48,0,0,0,1,0,LOGISTIQUE_TRANSPORT
développeur fullstack php symfony - expert,btechnologie,rabat,355,48,0,0,1,1,0,IT_DEVELOPPEMENT
technicien méthodes,richbond,casablanca,355,50,0,0,0,1,0,PRODUCTION_INDUSTRIE
analyste risque compliance,sofrecom maroc,maroc,351,47,0,0,0,1,0,JURIDIQUE_DROIT
agent de maintenance mécanicien,non spécifié,meknes,366,42,0,0,0,0,0,DATA_IA
comptable - marrakech,non spécifié,marrakech,332,45,0,0,0,1,0,COMPTABILITE_FINANCE
développeur dynatrace engineer,alten maroc,rabat,378,56,0,0,0,1,0,IT_DEVELOPPEMENT
infirmier(e) du travail,non spécifié,casablanca,443,58,0,0,1,1,0,DATA_IA
chargé de recrutement sur el jadida - f/h,wow7h24,el jadida,346,52,0,0,0,1,0,SPECIAL_AUTRES
responsable logistique de stock (h/f),manpower agences,agadir,331,45,0,0,1,1,0,LOGISTIQUE_TRANSPORT
