title_clean,company_clean,location_clean,description_clean,desc_length,title_length,word_count,source,link
aftermarket buyer,capgemini engineering,casablanca (maroc),"catégorie: 
capgemini engineering recherche un acheteur aftermarket expérimenté pour gérer la création de bons de commande, négocier avec les fournisseurs (prix, moq, délais) et analyser les références. le poste exige un master ou diplôme d''ingénieur en logistique/achats, au moins 1 an d''expérience en achats/supply chain, et une excellente maîtrise du français et de l''anglais, ainsi qu''excel et powerpoint.",423,17,58,Rekrute,https://www.rekrute.com/offre-emploi-aftermarket-buyer-recrutement-capgemini-engineering-casablanca-178038.html
gérant de station-service,non spécifié,ben maachou (maroc),"catégorie: lancer 4k
rejoignez notre entreprise leader en tant que gérant de station-service ! vos missions incluront la gestion des stocks, le management d''équipe, la prospection client et la garantie de la qualité et de la sécurité. profil recherché : bac+3/4 en gestion, avec une expérience probante, idéalement dans le secteur pétrolier ou la grande distribution.",377,26,55,Rekrute,https://www.rekrute.com/offre-emploi-gerant-de-station-service-recrutement-confidentiel-ben-maachou-176945.html
gérant de station-service,non spécifié,el menzeh - meknès (maroc),"catégorie: lancer 4k
poste de gérant de station-service à el menzeh - meknès. vos missions incluent la gestion des stocks, le management d''équipe, et la relation client. profil bac +3/4 en gestion avec une expérience pertinente, idéalement dans le secteur pétrolier ou la grande distribution.",300,26,44,Rekrute,https://www.rekrute.com/offre-emploi-gerant-de-station-service-recrutement-confidentiel-el-menzeh---meknes-177032.html
gérant de station-service,non spécifié,khouribga (maroc),"catégorie: lancer 4k
rejoignez une entreprise leader en tant que gérant de station-service à khouribga. vos missions incluent la gestion des stocks, le suivi client, le management d''équipe et la prospection. diplôme bac+3/4 en gestion et expérience probante (secteur pétrolier/grande distribution) requis.",312,26,41,Rekrute,https://www.rekrute.com/offre-emploi-gerant-de-station-service-recrutement-confidentiel-khouribga-177406.html
comptable (h/f),non spécifié,casablanca (maroc),"catégorie: lancer 4k
nous recherchons un comptable (h/f) à casablanca pour rejoindre une entreprise leader dans son secteur. vos missions principales incluront la passation des écritures, l''analyse des comptes et la préparation des bilans. un diplôme bac+2/4 en comptabilité et 2 ans d''expérience minimum sont requis.",324,15,45,Rekrute,https://www.rekrute.com/offre-emploi-comptable-hf-recrutement-confidentiel-casablanca-177584.html
responsable administratif et financier,atlas online,casablanca (maroc),"catégorie: 
atlas on line, filiale de la royal air maroc, recherche un responsable administratif et financier à casablanca. vous superviserez la gestion comptable, financière et budgétaire, élaborerez les budgets et préparerez les rapports financiers. bac+5 en finance/comptabilité, 5 ans d''expérience minimum et excellente maîtrise du français sont requis.",367,38,48,Rekrute,https://www.rekrute.com/offre-emploi-responsable-administratif-et-financier-recrutement-atlas-online-casablanca-178238.html
manager d''équipe en conduite d''activité ftth,non spécifié,casablanca (maroc),"catégorie: lancer 4k
filiale d''une société française. nous recrutons pour l’implantation de notre centre interne au maroc, un(e) responsable d''équipe expérimenté(e) en conduite d''activité ftth. sous la responsabilité du responsable des activités,...",261,46,31,Rekrute,https://www.rekrute.com/offre-emploi-manager-dequipe-en-conduite-dactivite-ftth-recrutement-confidentiel-casablanca-178493.html
data analyst,smollan morocco,casablanca (maroc),"catégorie: 
smollan recrute un analyste de données pour rejoindre son équipe. vos responsabilités incluront l''analyse et la génération de rapports, la gestion des systèmes opérationnels et le développement de solutions it. le candidat idéal possède des compétences en excel, powerbi, python/vba, et une excellente maîtrise du français et de l''anglais.",365,12,50,Rekrute,https://www.rekrute.com/offre-emploi-data-analyst-recrutement-smollan-morocco-casablanca-178492.html
chargé(e) d''accueil (f/h),sofrecom maroc,rabat (maroc),"catégorie: 
sofrecom recherche un(e) chargé(e) d''accueil (h/f) pour assurer l''accueil physique et téléphonique de qualité, gérer les appels, le courrier et les salles de réunion. vous avez une formation bac+2/bac+3, une première expérience réussie et d''excellentes compétences relationnelles. rejoignez une entreprise de conseil et d''ingénierie dans les télécoms, axée sur l''agilité et l''esprit d''équipe.",421,26,54,Rekrute,https://www.rekrute.com/offre-emploi-chargee-daccueil-fh-recrutement-sofrecom-maroc-rabat-177993.html
responsable logistique de stock (h/f),manpower agences,"agadir, souss-massa, morocco (maroc)","catégorie: 
manpower recrute un responsable logistique de stock (h/f) pour gérer les flux, optimiser les stocks et encadrer une équipe. vous justifiez d''au moins 3 ans d''expérience et d''une formation bac+3/5 en logistique. maîtrise des outils wms/erp indispensable.",270,37,38,Rekrute,https://www.rekrute.com/offre-emploi-responsable-logistique-de-stock-hf-recrutement-manpower-agences-agadir-souss-massa-morocco-176305.html
pmo senior – transformation digitale & ia - industrie x.0,aba technology,casablanca (maroc),"catégorie: 
mana technology recherche un pmo senior pour piloter ses programmes de transformation digitale et ia. vos missions incluront la définition de la gouvernance, le pilotage de portefeuille projets, la gestion budget-planning-risques, et l''industrialisation des solutions. candidat idéal : bac+5 avec 5-7 ans d''expérience en pmo/gestion de projets, idéalement en milieu industriel complexe.",403,59,53,Rekrute,https://www.rekrute.com/offre-emploi-pmo-senior-transformation-digitale-ia---industrie-x.0-recrutement-aba-technology-casablanca-178491.html
chargé(e) import & export,manpower agences,casablanca et périphérie (maroc),"catégorie: 
manpower group recrute un(e) chargé(e) import & export expérimenté(e) pour son client. vous assurerez la gestion administrative et logistique des flux internationaux, coordonnerez les expéditions et négicierez les tarifs de transport. profil bac+3 à bac+5 avec 2-5 ans d''expérience en import/export et une bonne connaissance des procédures douanières requis.",380,26,50,Rekrute,https://www.rekrute.com/offre-emploi-chargee-import-export-recrutement-manpower-agences-casablanca-et-peripherie-178490.html
technicien(ne) d''études barrage,novec,"salé, technopolis (maroc)","catégorie: 
novec recherche un(e) technicien(ne) d''études barrage pour rejoindre son département barrages et ouvrages souterrains. vos missions incluront le dessin de plans, l''établissement des métrés et la contribution au contrôle des travaux. profil recherché : technicien(ne) en génie civil avec une expérience souhaitée en adfer, rigueur et esprit d''équipe.",373,32,49,Rekrute,https://www.rekrute.com/offre-emploi-technicienne-detudes-barrage-recrutement-novec-sale-technopolis-178169.html
technicien(ne) structure,novec,salé (technopolis) (maroc),"catégorie: 
novec recherche un(e) technicien(ne) structure pour analyser les plans, préparer les dessins de construction et réaliser les calculs de dimensionnement. le poste requiert un diplôme en génie civil, 2 ans d''expérience avec revit, autocad et robot, ainsi qu''une maîtrise du béton armé. rejoignez notre équipe pour contribuer à des projets d''ingénierie d''excellence.",387,24,53,Rekrute,https://www.rekrute.com/offre-emploi-technicienne-structure-recrutement-novec-sale-technopolis-178159.html
technicien(ne) d''études expérimenté(e) en assainissement,novec,salé (technopolis) (maroc),"catégorie: 
technicien(ne) d''études expérimenté(e) en assainissement recherché pour novec, bureau d''études en ingénierie. missions incluent la conception et le calcul de réseaux d''assainissement et de stations de refoulement. profil recherché : bac+2 ou plus, plus de 5 ans d''expérience en études d''assainissement, maîtrise de mensura/covadis et autocad.",366,59,47,Rekrute,https://www.rekrute.com/offre-emploi-technicienne-detudes-experimentee-en-assainissement-recrutement-novec-sale-technopolis-178489.html
ingénieur d''études vrd,novec,"salé, technopolis (maroc)","catégorie: 
novec recherche un ingénieur d''études vrd expérimenté (plus de 10 ans) pour rejoindre sa direction aménagement urbain. le poste implique le développement commercial, la conception technique, la gestion de projet et le suivi de chantier. le candidat idéal possède d''excellentes compétences techniques, organisationnelles et relationnelles.",360,24,46,Rekrute,https://www.rekrute.com/offre-emploi-ingenieur-detudes-vrd-recrutement-novec-sale-technopolis-178488.html
technicien(ne) d''études expérimenté(e) en assainissement,novec,salé (technopolis) (maroc),"catégorie: 
technicien(ne) d''études expérimenté(e) en assainissement recherché par novec pour la conception et le calcul de réseaux d''assainissement. le candidat idéal possède un bac+2 ou plus, plus de 5 ans d''expérience, et maîtrise les logiciels de dimensionnement (mensura, covadis) et autocad. ce poste clé au sein de la direction eau potable et assainissement exige rigueur et autonomie.",403,59,57,Rekrute,https://www.rekrute.com/offre-emploi-technicienne-detudes-experimentee-en-assainissement-recrutement-novec-sale-technopolis-178487.html
ingénieur devops (h/f),sofrecom maroc,casablanca (maroc),"catégorie: 
sofrecom recrute un ingénieur devops (h/f) pour automatiser le déploiement d''infrastructure it on-premise. vous utiliserez ansible, python, terraform et gitlab pour migrer des automates et supporter la mise en exploitation. une expérience significative en automatisation et ci/cd est requise.",308,23,40,Rekrute,https://www.rekrute.com/offre-emploi-ingenieur-devops-hf-recrutement-sofrecom-maroc-casablanca-178401.html
