@RELATION offres_emploi_maroc

@ATTRIBUTE desc_length NUMERIC
@ATTRIBUTE word_count NUMERIC
@ATTRIBUTE is_remote {0,1}
@ATTRIBUTE has_education {0,1}
@ATTRIBUTE has_experience {0,1}
@ATTRIBUTE location {casablanca,rabat,marrakech,tanger,agadir,fes,mohammedia,sale,kenitra,autre}
@ATTRIBUTE category {IT_DEVELOPPEMENT,JURIDIQUE_DROIT,SANTE_MEDICAL,ENERGIE_ENVIRONNEMENT,TELECOM_RESEAUX,BATIMENT_CONSTRUCTION,ADMIN_SYSTEME_CLOUD,EDUCATION_FORMATION,COMMERCIAL_VENTE,MARKETING_COM,RESSOURCES_HUMAINES,COMPTABILITE_FINANCE,LOGISTIQUE_TRANSPORT,PRODUCTION_INDUSTRIE,ADMINISTRATIF_SUPPORT,MANAGEMENT_DIRECTION,DATA_IA,INGENIERIE,SPECIAL_AUTRES,AUTRE_SECTEUR}

@DATA
423,58,0,1,1,casablanca,SPECIAL_AUTRES
377,55,0,1,0,autre,MANAGEMENT_DIRECTION
300,44,0,1,0,autre,MANAGEMENT_DIRECTION
312,41,0,1,0,autre,MANAGEMENT_DIRECTION
324,45,0,1,0,casablanca,COMPTABILITE_FINANCE
367,48,0,1,0,casablanca,ADMINISTRATIF_SUPPORT
261,31,0,0,1,casablanca,MANAGEMENT_DIRECTION
365,50,0,0,0,casablanca,IT_DEVELOPPEMENT
421,54,0,1,1,rabat,ADMINISTRATIF_SUPPORT
270,38,0,1,0,agadir,LOGISTIQUE_TRANSPORT
403,53,0,1,1,casablanca,RESSOURCES_HUMAINES
380,50,0,1,1,casablanca,SPECIAL_AUTRES
373,49,0,0,0,sale,PRODUCTION_INDUSTRIE
387,53,0,1,0,sale,PRODUCTION_INDUSTRIE
366,47,0,1,1,sale,DATA_IA
360,46,0,1,1,sale,INGENIERIE
403,57,0,1,1,sale,DATA_IA
308,40,0,1,0,casablanca,IT_DEVELOPPEMENT
442,67,0,1,1,casablanca,PRODUCTION_INDUSTRIE
506,66,0,0,1,casablanca,DATA_IA
370,52,0,1,0,casablanca,DATA_IA
404,53,0,1,1,casablanca,ADMINISTRATIF_SUPPORT
319,44,0,1,0,casablanca,COMMERCIAL_VENTE
349,51,0,0,0,casablanca,SPECIAL_AUTRES
345,52,0,1,0,autre,SPECIAL_AUTRES
384,53,0,1,0,autre,MANAGEMENT_DIRECTION
323,48,0,1,0,autre,LOGISTIQUE_TRANSPORT
355,48,0,1,1,rabat,IT_DEVELOPPEMENT
355,50,0,1,0,casablanca,PRODUCTION_INDUSTRIE
351,47,0,1,0,autre,JURIDIQUE_DROIT
366,42,0,0,0,autre,DATA_IA
332,45,0,1,0,marrakech,COMPTABILITE_FINANCE
378,56,0,1,0,rabat,IT_DEVELOPPEMENT
443,58,0,1,1,casablanca,DATA_IA
346,52,0,1,0,autre,SPECIAL_AUTRES
331,45,0,1,1,agadir,LOGISTIQUE_TRANSPORT
305,45,0,1,0,casablanca,IT_DEVELOPPEMENT
311,42,0,0,0,autre,SPECIAL_AUTRES
381,53,0,0,1,tanger,COMMERCIAL_VENTE
386,50,0,1,0,autre,SPECIAL_AUTRES
407,55,0,0,0,casablanca,DATA_IA
330,47,0,1,0,agadir,COMPTABILITE_FINANCE
507,64,0,0,0,casablanca,SPECIAL_AUTRES
360,50,0,1,0,rabat,SPECIAL_AUTRES
416,54,0,1,0,casablanca,MANAGEMENT_DIRECTION
385,55,0,0,0,marrakech,EDUCATION_FORMATION
428,62,0,0,0,casablanca,LOGISTIQUE_TRANSPORT
488,63,0,0,0,marrakech,SPECIAL_AUTRES
379,48,0,1,1,casablanca,COMPTABILITE_FINANCE
416,53,0,1,1,casablanca,MANAGEMENT_DIRECTION
372,46,0,1,1,casablanca,COMPTABILITE_FINANCE
303,39,0,0,0,casablanca,DATA_IA
430,57,0,1,1,casablanca,DATA_IA
405,57,0,1,0,casablanca,SPECIAL_AUTRES
428,68,0,1,0,casablanca,SPECIAL_AUTRES
386,47,0,1,0,casablanca,DATA_IA
376,52,0,0,1,casablanca,PRODUCTION_INDUSTRIE
428,64,0,1,0,casablanca,COMPTABILITE_FINANCE
355,48,0,1,1,casablanca,ADMINISTRATIF_SUPPORT
383,49,0,1,0,casablanca,COMPTABILITE_FINANCE
441,58,0,1,1,casablanca,SPECIAL_AUTRES
306,40,0,1,1,casablanca,ADMIN_SYSTEME_CLOUD
401,51,0,1,0,autre,DATA_IA
421,59,0,0,1,casablanca,IT_DEVELOPPEMENT
383,54,0,0,1,rabat,ADMIN_SYSTEME_CLOUD
362,50,0,1,0,rabat,COMMERCIAL_VENTE
365,51,0,1,0,rabat,COMMERCIAL_VENTE
342,49,0,1,0,autre,SPECIAL_AUTRES
301,40,0,0,0,casablanca,MANAGEMENT_DIRECTION
400,56,0,1,1,casablanca,SPECIAL_AUTRES
468,60,0,1,0,casablanca,DATA_IA
343,49,0,1,0,casablanca,SPECIAL_AUTRES
377,55,0,1,0,casablanca,MANAGEMENT_DIRECTION
451,69,0,1,1,autre,DATA_IA
348,55,0,1,0,autre,SPECIAL_AUTRES
442,61,0,1,0,autre,MANAGEMENT_DIRECTION
439,55,0,1,0,autre,RESSOURCES_HUMAINES
383,51,0,1,0,casablanca,RESSOURCES_HUMAINES
473,59,0,1,1,autre,SPECIAL_AUTRES
328,49,0,0,0,autre,LOGISTIQUE_TRANSPORT
355,50,0,1,1,casablanca,IT_DEVELOPPEMENT
407,53,0,0,1,autre,SPECIAL_AUTRES
462,58,0,0,1,autre,SPECIAL_AUTRES
468,63,0,0,1,autre,ADMIN_SYSTEME_CLOUD
411,64,0,1,0,casablanca,COMPTABILITE_FINANCE
386,53,0,1,0,casablanca,ADMINISTRATIF_SUPPORT
485,62,0,1,1,casablanca,COMPTABILITE_FINANCE
571,77,0,1,1,casablanca,COMMERCIAL_VENTE
358,46,0,1,0,autre,RESSOURCES_HUMAINES
371,51,0,1,1,autre,INGENIERIE
371,51,0,1,0,casablanca,PRODUCTION_INDUSTRIE
312,42,0,1,0,casablanca,PRODUCTION_INDUSTRIE
382,52,0,0,0,autre,ADMINISTRATIF_SUPPORT
366,51,0,1,1,casablanca,DATA_IA
369,49,0,1,1,fes,DATA_IA
381,56,0,1,0,autre,SPECIAL_AUTRES
392,50,0,0,1,casablanca,SPECIAL_AUTRES
404,56,0,1,0,sale,IT_DEVELOPPEMENT
360,53,0,1,0,sale,DATA_IA
405,55,0,0,0,sale,PRODUCTION_INDUSTRIE
351,48,0,0,1,sale,PRODUCTION_INDUSTRIE
405,57,0,1,0,sale,MANAGEMENT_DIRECTION
389,56,0,0,0,sale,PRODUCTION_INDUSTRIE
386,50,0,1,1,sale,DATA_IA
336,52,0,1,0,rabat,RESSOURCES_HUMAINES
367,57,0,1,0,fes,SPECIAL_AUTRES
462,63,0,0,0,rabat,RESSOURCES_HUMAINES
463,60,0,1,0,casablanca,COMMERCIAL_VENTE
454,66,0,1,0,autre,IT_DEVELOPPEMENT
