ID,Titre,Entreprise,Lieu,Source,Date,Description,Lien
1,"Chef de Rayon","BRICOMA","Salé","Emploi.ma","03/01/2026","Nous recrutons deux Chefs de Rayon à Salé . Rattaché au responsable Magasin Bricoma Salé, Vos principales missions sont : Gérer, encadrer et former une équipe de conseillers de vente Assurer la mobilisation de toute votre équipe pour réaliser les objectifs fixés Conseiller & orienter les clients Garantir une bonne gestion de stock selon la demande et les besoins des clients Assurer une bonne tenue de rayon (présentation produits, balisage etc.) Préparer les reportings mensuels de l’évolution des objectifs, à la destination de la direction du magasin.","https://www.emploi.ma/offre-emploi-maroc/chef-rayon-sale-9115652"
2,"Inventoriste en Intérim","TECTRA","Casablanca","Emploi.ma","03/01/2026","Nous recrutons pour notre client spécialisé dans le secteur automobile des Inventoristes en contrat intérim. Missions : Faire l'inventaire physique des produits Faire la saisie sur logiciel par article et par référence...","https://www.emploi.ma/offre-emploi-maroc/inventoriste-interim-casablanca-9115766"
3,"Comptable","INGELEC","Casablanca","Emploi.ma","03/01/2026","Nous sommes à la recherche d'un Comptable.","https://www.emploi.ma/offre-emploi-maroc/comptable-casablanca-9115697"
4,"Agent Lingerie H/F","TECTRA MARRAKECH – HÔTELLERIE","Marrakech","Emploi.ma","03/01/2026","L’Humain est au cœur de notre métier ! TECTRA est aujourd’hui leader du conseil en Ressources Humaines au Maroc. Avec plus de 1000 clients actifs multisectoriels et une force de réseaux de 27 agences partout dans le Royaume, Tectra vous accompagne dans votre recherche d’emploi. Pour l’un de ses clients, dans le secteur hôtelier, TECTRA recherche des Agents Lingerie H/F sur Marrakech . Missions : Entretenir le linge de l'hôtel , du client et parfois les uniformes du personnel Enregistrer et comptabiliser le linge sale reçu, puis le transmettre à la buanderie pour le nettoyage Réceptionner le linge propre, le plier et le remettre...","https://www.emploi.ma/offre-emploi-maroc/agent-lingerie-hf-marrakech-9115678"
5,"Électricien","TECTRA MARRAKECH – HÔTELLERIE","Marrakech","Emploi.ma","03/01/2026","Nous cherchons pour le compte de notre client, un hôtel 5* basé sur Marrakech, un Électricien . Missions principales : Maintenance et entretien de l'outil de production en électricité Recherche de pannes et réparations d’électricité. Activités et responsabilités : Détection des problèmes électriques. Câblage des armoires électriques. Contrôle biomasse Remplissage grainions Contrôle des locaux techniques Allumage et vérification de l'éclairages et radiateurs Traitement et débarrassage piscine Nettoyage et ramonage des chaudières Biomasse Changement des roulements.","https://www.emploi.ma/offre-emploi-maroc/electricien-marrakech-9115675"
6,"Gérant de Station","TECTRA","Agadir","Emploi.ma","03/01/2026","Nous sommes à la recherche des Gérants de Station. Missions principales : Gestion commerciale : Assurer la bonne présentation et la disponibilité des produits et services. Développer le chiffre d’affaires de la station (carburants, lubrifiants, boutique, lavage, etc.). Mettre en œuvre les actions promotionnelles et les politiques commerciales définies par la direction. Gestion opérationnelle : Superviser les opérations quotidiennes de la station (approvisionnement, stockage, distribution, hygiène et sécurité). Veiller à la conformité des installations et à l’entretien du matériel. Garantir la qualité du service et la satisfaction des clients. Gestion financière et...","https://www.emploi.ma/offre-emploi-maroc/gerant-station-agadir-9115672"
7,"Gérant de Station Service","TECTRA","Casablanca et Région","Emploi.ma","03/01/2026","Pour l’un de ses clients, dans le secteur de transport, TECTRA recherche des Gérants de Station Service , à Casablanca. Missions Principales : Gestion et fiabilisation des stocks carburants et lubrifiants Établissement des rapports journaliers et décadaires d'activité Suivi et recouvrement des crédits clients Être le garant de la qualité de service Être le garant de la sécurité des équipes et des clients Management et animation des équipes Prospection des clients.","https://www.emploi.ma/offre-emploi-maroc/gerant-station-service-casablanca-region-9115619"
8,"Assistante Administrative","INNOV ENGINEERING CONSULTING","Rabat","Emploi.ma","03/01/2026","Nous sommes à la recherche d'une Assistante Administrative. Missions : Gestion de l’agenda et organisation des réunions et déplacements professionnels. Accueil des visiteurs et gestion des communications (téléphone, e-mail, courriers). Rédaction de documents (rapports, comptes-rendus, présentations, etc.). Coordination des activités de la direction et suivi des projets en cours. Assurer la gestion des tâches administratives quotidiennes (commande de fournitures, classement de documents, etc.).","https://www.emploi.ma/offre-emploi-maroc/assistante-administrative-rabat-9115167"
9,"Technicien Qualité","INGELEC","Casablanca","Emploi.ma","03/01/2026","Nous sommes à la recherche d'un Technicien Qualité. Mission principale : Le technicien qualité garantit la conformité des produits, procédés et services aux exigences internes et réglementaires. Il effectue les contrôles qualité, participe au traitement des non-conformités et contribue à l’amélioration continue du système qualité. Responsabilités principales : 1. Contrôle et inspection qualité Réaliser les contrôles qualité à réception, en cours de fabrication et sur produits finis. Vérifier la conformité des produits selon les normes, plans et spécifications techniques. Enregistrer et interpréter les résultats des contrôles (mesures, essais, analyses). Identifier et signaler toute non-...","https://www.emploi.ma/offre-emploi-maroc/technicien-qualite-casablanca-9115113"
10,"Assistante ADV","INGELEC","Casablanca","Emploi.ma","03/01/2026","Nous sommes à la recherche d'une Assistante ADV. Mission principale : L’assistante ADV assure la gestion administrative du processus de vente, depuis la réception des commandes clients jusqu’à la livraison et la facturation. Elle veille à la satisfaction client tout en garantissant le bon déroulement des opérations commerciales. Responsabilités principales : 1. Gestion des commandes clients Réception, enregistrement et suivi des commandes. Vérification des conditions commerciales (prix, délais, transport, disponibilité produit). Coordination avec la production, la logistique et la comptabilité pour garantir le bon déroulement du cycle de vente. 2. Suivi logistique et livraison...","https://www.emploi.ma/offre-emploi-maroc/assistante-adv-casablanca-9115103"
11,"Gestionnaire Logistique","INGELEC","Casablanca","Emploi.ma","03/01/2026","Nous sommes à la recherche d'un Gestionnaire Logistique. Le gestionnaire logistique planifie, coordonne et contrôle l’ensemble des opérations liées aux flux de marchandises, depuis l’approvisionnement jusqu’à la livraison finale, afin d’optimiser les coûts, les délais et la qualité de service. Responsabilités principales : Planification et organisation logistique : Élaborer le plan de transport, de stockage et de distribution. Gérer les flux de matières premières, produits finis et semi-finis. Mettre en place des indicateurs de performance (KPI) logistiques. Gestion des stocks : Superviser les inventaires et garantir la fiabilité des stocks. Optimiser les niveaux...","https://www.emploi.ma/offre-emploi-maroc/gestionnaire-logistique-casablanca-9115096"
12,"Metteur Clé en Main de Véhicule","TECTRA CASA BOURGOGNE – RECRUTEMENT","Casablanca","Emploi.ma","03/01/2026","Pour l'un de ces clients spécialisé en vente et distribution de grande Marque automobile, TECTRA recrute des Metteurs Clé en Main de Véhicule en intérim. Missions principales S’assurer de la préparation et du contrôle du véhicule préalablement à la livraison S’assurer de la bonne explication des fonctions des véhicules au client au moment de la livraison Présenter le service après-vente au client Activités techniques Contrôle de la conformité du véhicule par rapport à la commande du client. Contrôle du véhicule (carrosserie, fonctionnalités et niveaux…) Pose d’équipements d’origine livrés non montés (enjoliveurs, cendrier, tapis…) Dé...","https://www.emploi.ma/offre-emploi-maroc/metteur-cle-main-vehicule-casablanca-9115065"
13,"Chargé de Recouvrement par Téléphone","TECTRA CASA TERTIAIRE – RECRUTEMENT","Casablanca","Emploi.ma","03/01/2026","Nous recrutons pour notre client basé à Casablanca qui opère dans le secteur bancaire des Chargé(e)s de Recouvrement par Téléphone. Missions : Suivre les comptes assignés pour identifier les dettes impayées Planifier la marche à suivre pour recouvrer les impayés Localiser et contacter les débiteurs afin de les interroger sur l’état de leurs paiements Négocier des délais de règlement ou des échéanciers Gérer les questions ou les réclamations Enquêter et résoudre les écarts Instaurer des rapports de confiance avec les débiteurs, si possible, afin d’éviter des difficultés futures Actualiser le statut du compte et la base de données régulièrement Alerter les supérieurs concernant les...","https://www.emploi.ma/offre-emploi-maroc/charge-recouvrement-telephone-casablanca-8842522"
14,"Chargé de Qualité","Non spécifié","Nouaceur","Emploi.ma","03/01/2026","Nous sommes à la recherche d'un Chargé de Qualité. Missions : Contrôler la conformité des matières premières, emballages et produits finis. Vérifier les paramètres de fabrication (température, poids, pH, cuisson, etc.). Effectuer des prélèvements d’échantillons pour analyses microbiologiques ou physico-chimiques. Réaliser des contrôles visuels et organoleptiques sur les produits. Enregistrer les résultats des contrôles et renseigner les fiches de suivi qualité. Signaler immédiatement toute non-conformité au service qualité ou à la production. S’assurer de la bonne application des procédures qualité, hygiène et sécurité alimentaire. Contrôler la propreté des locaux, du matériel et...","https://www.emploi.ma/offre-emploi-maroc/charge-qualite-nouaceur-9115090"
15,"Ingénieur D’Études Routes /Autoroutes","INNOV ENGINEERING CONSULTING","Rabat","Emploi.ma","03/01/2026","Nous sommes à la recherche d'un Ingénieur d’Études en génie civil avec une expérience en Routes /Autoroutes. Missions: Réaliser des études de projets au sein d'une équipe pluridisciplinaire Réaliser des calculs propres au dimensionnement et à la justification du projet correspondant Participer aux réunions avec les clients et les parties prenantes.","https://www.emploi.ma/offre-emploi-maroc/ingenieur-etudes-routes-autoroutes-rabat-9115456"
16,"Gestionnaire de L´Administration des Ventes","SEPALUMIC","Casablanca, Bouskoura","Emploi.ma","03/01/2026","Nous sommes à la recherche d'un Gestionnaire de l'Administration Des Ventes. Missions : La réception et la validation technique des commandes clients La gestion du portefeuille client des commerciaux La saisie des commandes clients sur le système d'information La participation à la planification de la production Le pilotage et le suivi des commandes tout au long du processus production La vérification de l'adéquation entre la commande à livrer et le besoin client Le suivi des réclamations clients.","https://www.emploi.ma/offre-emploi-maroc/gestionnaire-administration-ventes-casablanca-bouskoura-9118030"
